family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components,kernel_fit_components
laplace_kernel8,0.2,12,0.003090213824125527,0.06736840081016374,21.80056288798324,0.41783793021875226,8,8
laplace_kernel8,0.2,16,0.003035434050923654,0.06736840081016374,22.19399258226815,0.8037572734374976,8,8
laplace_kernel8,0.4,1,0.0660602255199648,0.06605218028815746,0.9998782136793508,0.017228850937499374,8,8
laplace_kernel8,0.4,2,0.057803407012892445,0.06605218028815746,1.1427039287394463,0.03159479324999381,8,8
laplace_kernel8,0.4,3,0.035999205470597144,0.06605218028815746,1.8348232808111975,0.05009249453124198,8,8
laplace_kernel8,0.4,4,0.020221752062690633,0.06605218028815746,3.266392550130436,0.07089203056250426,8,8
laplace_kernel8,0.4,6,0.008711688562750305,0.06605218028815746,7.582018091255617,0.12118926581248957,8,8
laplace_kernel8,0.4,8,0.005940825979692262,0.06605218028815746,11.118349622417151,0.18630396915625624,8,8
laplace_kernel8,0.4,12,0.003938890436173108,0.06605218028815746,16.769235234766143,0.412788672937495,8,8
laplace_kernel8,0.4,16,0.003444945896303918,0.06605218028815746,19.173648085162917,0.7945191456562526,8,8
laplace_kernel8,0.8,1,0.03967635578312746,0.03966283503270055,0.9996592239846619,0.0168855438125064,8,8
laplace_kernel8,0.8,2,0.05200524549887342,0.03966283503270055,0.7626698932429761,0.031008846343738128,8,8
laplace_kernel8,0.8,3,0.02878857376668227,0.03966283503270055,1.3777283777289215,0.05258875975000876,8,8
laplace_kernel8,0.8,4,0.020357820968643643,0.03966283503270055,1.948284892267776,0.0708829436875078,8,8
laplace_kernel8,0.8,6,0.014135406596354545,0.03966283503270055,2.8059210580422502,0.1224701906875083,8,8
laplace_kernel8,0.8,8,0.012012501305115783,0.03966283503270055,3.3017965222454775,0.19318817571875968,8,8
laplace_kernel8,0.8,12,0.007276662391773361,0.03966283503270055,5.45069056351184,0.4175089637812448,8,8
laplace_kernel8,0.8,16,0.005363989818479828,0.03966283503270055,7.39427858271758,0.8189495645937512,8,8
laplace_kernel8,1.6,1,0.022018376875171414,0.022233297072345608,1.0097609464309127,0.018755673343747503,8,8
laplace_kernel8,1.6,2,0.02805740535059397,0.022233297072345608,0.7924217080848116,0.03522429293749951,8,8
laplace_kernel8,1.6,3,0.015923496393681003,0.022233297072345608,1.396257236643615,0.055692249875008315,8,8
laplace_kernel8,1.6,4,0.010818385227176458,0.022233297072345608,2.0551400791768977,0.07393466918750846,8,8
laplace_kernel8,1.6,6,0.010101036186284593,0.022233297072345608,2.201090725972694,0.12555933525000285,8,8
laplace_kernel8,1.6,8,0.010060792649451792,0.022233297072345608,2.2098951690011313,0.19118236231250307,8,8
laplace_kernel8,1.6,12,0.007887545423217256,0.022233297072345608,2.818785297502205,0.40597160984376046,8,8
laplace_kernel8,1.6,16,0.006526566530012468,0.022233297072345608,3.406583993299634,0.7739256178437586,8,8
