rho,half_width,t,score_rel_error_mean,score_rel_error_std,mean_rel_error_mean,identity_residual_max,resolution_ok
0.95,5.0,0.4,4.4776632266349854e-14,6.588720108060683e-14,5.781468828778986e-14,1.3231003447235914,1.0
0.95,5.0,0.8,4.24557439669216e-06,7.509854753991079e-06,4.535495868752854e-06,2.1004164650005104e-05,1.0
0.95,5.0,1.6,3.823915079027721e-07,5.547155227192162e-07,3.1449341240774818e-06,8.598994003087656e-09,1.0
0.95,5.0,2.4,3.1456821015881843e-06,3.373672376427317e-06,7.618917810237229e-05,5.559016779146158e-10,1.0
0.95,6.0,0.005,7.562877791351009e-15,6.739873760493409e-16,2.632846235174874e-15,7.7222942614423165,1.0
0.95,6.0,0.01,6.28240690902528e-15,1.7402189251545646e-15,1.7973303091643615e-15,7.61884397166674,1.0
0.95,6.0,0.02,3.9078641284146385e-15,9.309740305288075e-16,2.3823949500666733e-15,5.4278296145443425,1.0
0.95,6.0,0.05,1.9761414827388493e-15,2.706338255511277e-16,1.90179561882763e-15,3.386030517842777,1.0
0.95,6.0,0.1,1.3037592762584515e-15,2.2566607009577934e-16,1.106004829377781e-15,2.576606454225865,1.0
0.95,6.0,0.2,8.131142311674156e-16,1.1487272466770887e-16,7.013631128903885e-16,1.8821968411591685,1.0
0.95,6.0,0.4,4.412821684003781e-16,6.47770083871771e-17,6.892231669641206e-16,1.5536152854592737,1.0
0.95,6.0,0.8,3.9110253920826166e-10,6.051841014355642e-10,4.351860474507699e-10,0.9298411058910252,1.0
0.95,6.0,1.6,5.340384333653757e-10,9.221962844746929e-10,4.266388849067044e-09,1.3996078536434512e-05,1.0
0.95,6.0,2.4,1.5949927570711623e-08,2.010720435758333e-08,3.6019377710480046e-07,2.4755977565108654e-07,1.0
0.95,7.0,0.005,7.934660774754626e-15,8.529612512514128e-16,2.6594153318162443e-15,7.653632512211458,1.0
0.95,7.0,0.01,5.904375363189852e-15,1.3986825326874154e-15,1.8082320380958454e-15,8.398458697205161,1.0
0.95,7.0,0.02,3.845830582836572e-15,1.0609014914466866e-15,2.4064444960787098e-15,6.254426116630345,1.0
0.95,7.0,0.05,1.9746874543399907e-15,2.0769504987971597e-16,1.9087964163535583e-15,3.3219948339221403,1.0
0.95,7.0,0.1,1.2996371763672151e-15,2.7756063810854466e-16,1.0780719854098947e-15,2.635937583006152,1.0
0.95,7.0,0.2,8.507932576577615e-16,1.2175388461871078e-16,7.140381432127827e-16,1.7174803070201148,1.0
0.95,7.0,0.4,4.686865960770931e-16,1.0541309911848946e-16,6.93944673699499e-16,1.3123630002059068,1.0
0.95,7.0,0.8,3.093606816149536e-15,4.181642680384463e-15,4.0199429796456814e-15,0.9880666504942497,1.0
0.95,7.0,1.6,2.0495751118436494e-13,3.9715140572155365e-13,1.607447634497375e-12,0.06418362679838999,1.0
0.95,7.0,2.4,2.54436959534233e-11,3.6219982378881686e-11,5.41944181334308e-10,0.0002460631144359336,1.0
0.95,8.0,0.005,7.837686791576169e-15,6.098847031323063e-16,2.634594149190754e-15,7.298753961529412,1.0
0.95,8.0,0.01,6.1666191251784e-15,1.2302104343111957e-15,1.7930052524152156e-15,6.792198571246165,1.0
0.95,8.0,0.02,3.866348296958269e-15,1.0373032512258006e-15,2.413129757364768e-15,5.92348023077801,1.0
0.95,8.0,0.05,1.8427039064614317e-15,1.6261922387385408e-16,1.924861478791825e-15,3.3115884613494746,1.0
0.95,8.0,0.1,1.2642542271176068e-15,2.5865339224941484e-16,1.0628531749314812e-15,2.8855859849716756,1.0
0.95,8.0,0.2,8.383396183194557e-16,1.710166992237741e-16,6.95737691025345e-16,1.7615218697851143,1.0
0.95,8.0,0.4,4.552826091853693e-16,8.44321092927657e-17,7.041648488554265e-16,1.3871105769277314,1.0
0.95,8.0,0.8,3.6973600294086004e-16,1.129711909968272e-16,3.338033528351179e-16,1.0086960296494487,1.0
0.95,8.0,1.6,2.7857666873975476e-16,5.60641232549476e-17,1.1830370251990291e-15,1.1056552553713226,1.0
0.95,8.0,2.4,1.3015269297587759e-14,2.021151664932661e-14,2.649266286543129e-13,0.6540197717768006,1.0
