family,excess_kurtosis,radius,receptive_field,parameterization,t,n_params,score_rel_l2_all,score_rel_l2_interior,seconds
laplace,3.0,6,13,eps,0.4,5313,0.0707211407254914,0.06097919747913536,88.66970621099972
laplace,3.0,6,13,eps,0.8,5313,0.0754818288178535,0.07627663704027873,88.66970621099972
laplace,3.0,6,13,eps,1.6,5313,0.07602752179049746,0.07812521244968752,88.66970621099972
laplace,3.0,6,13,x0,0.1,5313,0.22891108397087295,0.20304034626688733,89.69479491700076
laplace,3.0,6,13,x0,0.2,5313,0.1287931492500457,0.1058140693950363,89.69479491700076
laplace,3.0,6,13,x0,0.4,5313,0.07354951917302499,0.06126103094607402,89.69479491700076
laplace,3.0,6,13,x0,0.8,5313,0.04459307224208469,0.044459649812697406,89.69479491700076
laplace,3.0,6,13,x0,1.6,5313,0.021563196830902603,0.022675595275571045,89.69479491700076
laplace,3.0,8,17,eps,0.1,5569,0.13054404262448996,0.09314271544861394,92.22843328999988
laplace,3.0,8,17,eps,0.2,5569,0.0955826537699473,0.0681844378683191,92.22843328999988
laplace,3.0,8,17,eps,0.4,5569,0.06653891928034134,0.05185954015030599,92.22843328999988
laplace,3.0,8,17,eps,0.8,5569,0.046263193780977624,0.045987010788565146,92.22843328999988
laplace,3.0,8,17,eps,1.6,5569,0.03995558704648024,0.04247245916071813,92.22843328999988
laplace,3.0,8,17,x0,0.1,5569,0.21386529857116507,0.1985027035578348,91.63965121399997
laplace,3.0,8,17,x0,0.2,5569,0.12353199059150677,0.10630394828524116,91.63965121399997
laplace,3.0,8,17,x0,0.4,5569,0.07333980654058857,0.05843672885300821,91.63965121399997
laplace,3.0,8,17,x0,0.8,5569,0.0450362419717128,0.04307352822685809,91.63965121399997
laplace,3.0,8,17,x0,1.6,5569,0.01881183193845636,0.01912677083379973,91.63965121399997
laplace,3.0,12,25,eps,0.1,6081,0.15035264100315318,0.12425119267169321,94.92109462699955
laplace,3.0,12,25,eps,0.2,6081,0.10963589078037325,0.09142595876603696,94.92109462699955
laplace,3.0,12,25,eps,0.4,6081,0.07563911867931518,0.06435286126029,94.92109462699955
laplace,3.0,12,25,eps,0.8,6081,0.050034880003253006,0.049614956550800726,94.92109462699955
