init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01_exact,laplace,3.0,0.85,0.4,1,0.28910065689778025,0.5849256241289252,0.016968793771757876,60,1.0174167415199826
n01_exact,laplace,3.0,0.85,0.4,2,0.14629743686840846,0.5849256241289252,0.016968793771757876,60,1.0174167415199826
n01_exact,laplace,3.0,0.85,0.4,3,0.09582282433553972,0.5849256241289252,0.016968793771757876,60,1.0174167415199826
n01_exact,laplace,3.0,0.85,0.4,4,0.04944530132365152,0.5849256241289252,0.016968793771757876,60,1.0174167415199826
n01_exact,laplace,3.0,0.85,0.4,5,0.03404929772419619,0.5849256241289252,0.016968793771757876,60,1.0174167415199826
invariant,laplace,3.0,0.85,0.1,1,0.07567113067560649,0.3599479330685949,0.010604429952566238,60,1.2050305660093288
invariant,laplace,3.0,0.85,0.1,2,0.03016783523518456,0.3599479330685949,0.010604429952566238,60,1.2050305660093288
invariant,laplace,3.0,0.85,0.1,3,0.009298237166253305,0.3599479330685949,0.010604429952566238,60,1.2050305660093288
invariant,laplace,3.0,0.85,0.1,4,0.004037891626918671,0.3599479330685949,0.010604429952566238,60,1.2050305660093288
invariant,laplace,3.0,0.85,0.1,5,0.0012497506976859374,0.3599479330685949,0.010604429952566238,60,1.2050305660093288
invariant,laplace,3.0,0.85,0.4,1,0.23093564930397426,0.612724772939346,0.026429524969478837,60,1.0896958002444281
invariant,laplace,3.0,0.85,0.4,2,0.15329372153485638,0.612724772939346,0.026429524969478837,60,1.0896958002444281
invariant,laplace,3.0,0.85,0.4,3,0.09636570245935466,0.612724772939346,0.026429524969478837,60,1.0896958002444281
invariant,laplace,3.0,0.85,0.4,4,0.06727746729713188,0.612724772939346,0.026429524969478837,60,1.0896958002444281
invariant,laplace,3.0,0.85,0.4,5,0.030105479200794486,0.612724772939346,0.026429524969478837,60,1.0896958002444281
n01,student_t_nu5,6.0,0.85,0.1,1,0.10185336633213599,0.30143954314344223,0.008039515315168786,77,0.9707508873654407
n01,student_t_nu5,6.0,0.85,0.1,2,0.02937642003208887,0.30143954314344223,0.008039515315168786,77,0.9707508873654407
n01,student_t_nu5,6.0,0.85,0.1,3,0.008566479166163727,0.30143954314344223,0.008039515315168786,77,0.9707508873654407
n01,student_t_nu5,6.0,0.85,0.1,4,0.0024199937111329074,0.30143954314344223,0.008039515315168786,77,0.9707508873654407
n01,student_t_nu5,6.0,0.85,0.1,5,0.0008832198432949084,0.30143954314344223,0.008039515315168786,77,0.9707508873654407
n01,student_t_nu5,6.0,0.85,0.4,1,0.3196132011743015,0.5680738910145317,0.011520149850046988,77,0.9182241763385364
n01,student_t_nu5,6.0,0.85,0.4,2,0.1587018336265218,0.5680738910145317,0.011520149850046988,77,0.9182241763385364
n01,student_t_nu5,6.0,0.85,0.4,3,0.09834550909586386,0.5680738910145317,0.011520149850046988,77,0.9182241763385364
n01,student_t_nu5,6.0,0.85,0.4,4,0.05319618649591491,0.5680738910145317,0.011520149850046988,77,0.9182241763385364
n01,student_t_nu5,6.0,0.85,0.4,5,0.032658751475458506,0.5680738910145317,0.011520149850046988,77,0.9182241763385364
n01_exact,student_t_nu5,6.0,0.85,0.1,1,0.08529141731917723,0.3251297195293901,0.011108017145423602,77,1.0766340584446075
