family,rho,n,t,n_chains,rep,rho_true,q_true,rho_hat,q_hat,rho_abs_err,q_rel_err,loglik,em_iters,em_converged,restart_rho_std,restart_rho_range,restart_loglik_range,ridge_width,ridge_width_censored,profile_curvature,profile_peak_at_edge,profile_scan_lo,profile_scan_hi,profile_peak_rho
gaussian,0.85,40,0.5,4000,0,0.85,0.2775000000000001,0.8528466573576908,0.27382788883669856,0.0028466573576908516,0.013232833020906363,-53.620603652214136,187,1,1.187376385137505e-06,3.0074349532949185e-06,3.4058047049256857e-08,0.31237500000000007,0,37.08543837742203,0,0.39999999999999997,0.995,0.84625
student,0.95,40,0.08,250,0,0.95,0.09750000000000003,0.9477978081707445,0.09982815230557082,0.0022021918292554066,0.023878485185341438,-33.275366301105535,55,1,1.429095453594782e-07,3.9129627960043933e-07,1.8793123501836817e-08,0.08662500000000006,0,394.28708595238356,0,0.49999999999999994,0.995,0.9455
uniform,0.95,20,1.8,4000,1,0.95,0.09750000000000003,0.8538317727365364,0.442427320573949,0.09616822726346352,3.537716108450758,-28.358036623886907,300,0,0.17496936312492237,0.5251317914618703,0.03021413516669824,0.49500000000000005,1,1.8283364112528964,0,0.49999999999999994,0.995,0.8959999999999999
gaussian,0.85,40,0.3,1000,2,0.85,0.2775000000000001,0.8537396893923074,0.2628924569173636,0.0037396893923073993,0.0526397948923836,-50.27160628979787,83,1,4.071045733337445e-06,9.693541341060374e-06,2.535579568530011e-08,0.25287499999999996,0,69.79941423815352,0,0.39999999999999997,0.995,0.8611249999999999
uniform,0.7,40,2.4,1000,1,0.7,0.51,0.6332321378242594,0.4768902901314059,0.0667678621757406,0.06492099974234143,-56.62780485299178,300,0,0.20819030961220195,0.5897105585813976,0.00123868051045406,0.7450000000000001,1,0.06098583634189699,0,0.24999999999999994,0.995,0.6970000000000001
uniform,0.95,80,0.08,1000,2,0.95,0.09750000000000003,0.9492360550202803,0.0981350684192975,0.0007639449797196551,0.006513522249204862,-66.11711416194326,50,1,4.548569733319562e-07,1.196770202605002e-06,3.473456899882876e-08,0.06187500000000001,0,708.2185374549849,0,0.49999999999999994,0.995,0.9455
uniform,0.5,40,0.8,1000,2,0.5,0.75,0.5353211863016502,0.6805585892181638,0.035321186301650154,0.09258854770911491,-56.30149520421538,278,1,0.001255760146445504,0.00349195084826448,1.0384050575851234e-05,0.8775,1,2.772752654049403,0,0.04999999999999999,0.95,0.5449999999999999
student,0.85,40,0.15,250,1,0.85,0.2775000000000001,0.8433030807507379,0.294525517903037,0.006696919249262079,0.06135321766860147,-46.1351018342761,56,1,1.6265895804332408e-07,4.7643964329324717e-07,3.567191697584349e-08,0.19337500000000007,0,93.7382914854536,0,0.39999999999999997,0.995,0.84625
mixture,0.5,20,0.8,4000,0,0.5,0.75,0.491412791173314,0.7635128801596193,0.00858720882668601,0.01801717354615902,-28.272488903412086,161,1,0.001849297608896001,0.004545703373693644,1.7568611671237022e-05,0.8999999999999999,1,1.3615291929642592,0,0.04999999999999999,0.95,0.49999999999999994
gaussian,0.85,20,0.15,4000,0,0.85,0.2775000000000001,0.8544402049133838,0.27168109135248625,0.004440204913383816,0.02096904017122101,-22.962350817877493,48,1,1.122826553987876e-06,2.8997755878723552e-06,1.2247845404544933e-08,0.26774999999999993,0,54.47608992684946,0,0.39999999999999997,0.995,0.8611249999999999
gaussian,0.95,20,0.5,250,2,0.95,0.09750000000000003,0.9535804145984339,0.08227154978604823,0.0035804145984339453,0.1561892329636082,-26.020801474297354,234,1,3.446959583938696e-06,1.141144557326168e-05,9.39495592433559e-09,0.25987499999999997,0,152.82882015217427,0,0.49999999999999994,0.995,0.957875
uniform,0.85,80,0.15,1000,1,0.85,0.2775000000000001,0.8493791316068373,0.2770634856526242,0.0006208683931626657,0.0015730246752284852,-90.93059354122022,49,1,5.669343345549889e-07,1.6094767593122228e-06,5.318045737112698e-08,0.13387499999999997,0,181.0403021125582,0,0.39999999999999997,0.995,0.84625
gaussian,0.5,80,1.8,250,2,0.5,0.75,0.4871371378116861,0.9848012171712184,0.012862862188313895,0.3130682895616245,-113.71066685743858,300,0,0.13501439792452355,0.41213461245955296,0.017577651081907675,0.8999999999999999,1,0.4238998864798577,0,0.04999999999999999,0.95,0.45499999999999996
student,0.95,80,0.5,4000,0,0.95,0.09750000000000003,0.9515731312304717,0.0942144970509063,0.0015731312304717582,0.03369746614455107,-103.10893205338628,231,1,6.925537634861174e-07,2.027849796970571e-06,7.431032145177596e-08,0.09900000000000009,0,326.0367139195509,0,0.49999999999999994,0.995,0.9455
uniform,0.85,40,2.4,250,0,0.85,0.2775000000000001,0.6390830178032163,1.6331849430949525,0.21091698219678368,4.885351146288116,-57.219594163677556,300,0,0.23443983772862736,0.6325591230313323,0.015874899927901254,0.595,1,1.7243478490678446,0,0.39999999999999997,0.995,0.84625
mixture,0.7,40,0.15,1000,2,0.7,0.51,0.7002167039578426,0.5132337770006449,0.00021670395784267882,0.006340739216950718,-50.41135873404103,23,1,3.2596883838935387e-05,9.362979765015211e-05,5.016946289515545e-07,0.27937499999999993,0,44.98766063796616,0,0.24999999999999994,0.995,0.6970000000000001
laplace,0.5,20,0.3,250,2,0.5,0.75,0.5231428126058583,0.7735257840826533,0.023142812605858265,0.03136771211020436,-27.898902732909168,62,1,5.171007696532348e-06,1.1521156015770195e-05,3.171960045733613e-07,0.63,0,8.596414397287377,0,0.04999999999999999,0.95,0.5225
