stage,seed,n_chains,method,region,checkpoint,at_cap,n_params,sq_err,sq_ref,risk,val_bundle,test_bundle
confirm,7,32,window,bulk,1000,False,4801,37359.980558942356,1080119.1712358599,0.18598053107464593,55baeb99fbcb,a7422d0c3db0
confirm,7,32,window,centre,1000,False,4801,1570.6566615512234,45937.80816655107,0.1849079123657908,55baeb99fbcb,a7422d0c3db0
confirm,7,128,em_bp,all,220,False,25,9910.198211899575,1423420.0844773408,0.08344006345377222,55baeb99fbcb,a7422d0c3db0
confirm,7,128,em_bp,bulk,220,False,25,7664.080814891974,1080119.1712358599,0.08423531427605416,55baeb99fbcb,a7422d0c3db0
confirm,7,128,em_bp,centre,220,False,25,346.4616141367351,45937.80816655107,0.08684452163357592,55baeb99fbcb,a7422d0c3db0
confirm,7,128,window,all,16000,False,4801,35393.00726553332,1423420.0844773408,0.15768565553522693,55baeb99fbcb,a7422d0c3db0
confirm,7,128,window,bulk,16000,False,4801,19780.260347834388,1080119.1712358599,0.13532566330482917,55baeb99fbcb,a7422d0c3db0
confirm,7,128,window,centre,16000,False,4801,841.1326244480181,45937.80816655107,0.1353153621130194,55baeb99fbcb,a7422d0c3db0
confirm,7,512,em_bp,all,80,False,25,1543.3534995972973,1423420.0844773408,0.03292806124153758,55baeb99fbcb,a7422d0c3db0
confirm,7,512,em_bp,bulk,80,False,25,1198.2428829485732,1080119.1712358599,0.03330708242639036,55baeb99fbcb,a7422d0c3db0
confirm,7,512,em_bp,centre,80,False,25,53.64248419428714,45937.80816655107,0.034171914104571106,55baeb99fbcb,a7422d0c3db0
confirm,7,512,window,all,64000,True,4801,24459.314776393137,1423420.0844773408,0.1310857847629691,55baeb99fbcb,a7422d0c3db0
confirm,7,512,window,bulk,64000,True,4801,16963.97721949796,1080119.1712358599,0.12532219792947674,55baeb99fbcb,a7422d0c3db0
confirm,7,512,window,centre,64000,True,4801,708.9991540298988,45937.80816655107,0.1242332147746349,55baeb99fbcb,a7422d0c3db0
confirm,7,2048,em_bp,all,400,False,25,336.3516926453448,1423420.0844773408,0.015371996045169522,55baeb99fbcb,a7422d0c3db0
confirm,7,2048,em_bp,bulk,400,False,25,259.08077267388114,1080119.1712358599,0.015487515518403598,55baeb99fbcb,a7422d0c3db0
confirm,7,2048,em_bp,centre,400,False,25,11.456426710253128,45937.80816655107,0.015792084373241158,55baeb99fbcb,a7422d0c3db0
confirm,7,2048,window,all,64000,True,4801,20441.57525692801,1423420.0844773408,0.1198369191436323,55baeb99fbcb,a7422d0c3db0
confirm,7,2048,window,bulk,64000,True,4801,13998.140572631408,1080119.1712358599,0.11384116670586923,55baeb99fbcb,a7422d0c3db0
confirm,7,2048,window,centre,64000,True,4801,585.051791134192,45937.80816655107,0.11285271758956486,55baeb99fbcb,a7422d0c3db0
confirm,8,32,em_bp,all,40,False,25,32560.17293420378,1421382.3600478668,0.1513519047022693,6ab05819eda6,a4ca7661968b
confirm,8,32,em_bp,bulk,40,False,25,25125.520820140384,1078009.6798048625,0.15266736371043366,6ab05819eda6,a4ca7661968b
confirm,8,32,em_bp,centre,40,False,25,1082.5012093116657,45217.02096450108,0.15472597282023132,6ab05819eda6,a4ca7661968b
confirm,8,32,window,all,1000,False,4801,64976.5532164446,1421382.3600478668,0.21380746985417678,6ab05819eda6,a4ca7661968b
confirm,8,32,window,bulk,1000,False,4801,37807.5469200997,1078009.6798048625,0.1872741866781614,6ab05819eda6,a4ca7661968b
confirm,8,32,window,centre,1000,False,4801,1662.3255916722355,45217.02096450108,0.19173750523741911,6ab05819eda6,a4ca7661968b
confirm,8,128,em_bp,all,60,False,25,20884.439403303993,1421382.3600478668,0.12121488404113735,6ab05819eda6,a4ca7661968b
confirm,8,128,em_bp,bulk,60,False,25,16095.80772205787,1078009.6798048625,0.1221926426693868,6ab05819eda6,a4ca7661968b
confirm,8,128,em_bp,centre,60,False,25,665.0103642452798,45217.02096450108,0.12127275222634057,6ab05819eda6,a4ca7661968b
confirm,8,128,window,all,8000,False,4801,32662.200081488503,1421382.3600478668,0.1515888494684861,6ab05819eda6,a4ca7661968b
confirm,8,128,window,bulk,8000,False,4801,19407.415367503152,1078009.6798048625,0.13417528307421206,6ab05819eda6,a4ca7661968b
confirm,8,128,window,centre,8000,False,4801,831.354093266668,45217.02096450108,0.13559449143765806,6ab05819eda6,a4ca7661968b
confirm,8,512,em_bp,all,300,False,25,2344.447412557362,1421382.3600478668,0.04061297344478167,6ab05819eda6,a4ca7661968b
confirm,8,512,em_bp,bulk,300,False,25,1817.8909540129293,1078009.6798048625,0.04106507156415769,6ab05819eda6,a4ca7661968b
confirm,8,512,em_bp,centre,300,False,25,74.38384392483795,45217.02096450108,0.040559102440697846,6ab05819eda6,a4ca7661968b
confirm,8,512,window,all,64000,True,4801,20343.863971584204,1421382.3600478668,0.11963582834999914,6ab05819eda6,a4ca7661968b
confirm,8,512,window,bulk,64000,True,4801,14327.807651480382,1078009.6798048625,0.1152865229431583,6ab05819eda6,a4ca7661968b
confirm,8,512,window,centre,64000,True,4801,611.9456966884292,45217.02096450108,0.11633368079959996,6ab05819eda6,a4ca7661968b
