t,arm,n_obs,seed,psi,p_hat,p_true
0.05,marginal,4096,123393400,-3.141592653589793,0.0078125,0.0
0.05,marginal,4096,123393400,-3.0925052683774528,0.0078125,0.0
0.05,marginal,4096,123393400,-3.043417883165112,0.0078125,0.0
0.05,marginal,4096,123393400,-2.9943304979527716,0.0078125,0.0
0.05,marginal,4096,123393400,-2.945243112740431,0.0078125,0.0
0.05,marginal,4096,123393400,-2.8961557275280905,0.0078125,0.0
0.05,marginal,4096,123393400,-2.84706834231575,0.0078125,0.0
0.05,marginal,4096,123393400,-2.7979809571034093,0.0078125,0.0
0.05,marginal,4096,123393400,-2.748893571891069,0.0078125,0.0
0.05,marginal,4096,123393400,-2.6998061866787286,0.0078125,0.0
0.05,marginal,4096,123393400,-2.650718801466388,0.0078125,0.0
0.05,marginal,4096,123393400,-2.6016314162540475,0.0078125,0.0
0.05,marginal,4096,123393400,-2.552544031041707,0.0078125,0.0
0.05,marginal,4096,123393400,-2.5034566458293663,0.0078125,0.0
0.05,marginal,4096,123393400,-2.454369260617026,0.0078125,0.0
0.05,marginal,4096,123393400,-2.405281875404685,0.0078125,0.0
0.05,marginal,4096,123393400,-2.356194490192345,0.0078125,0.0
0.05,marginal,4096,123393400,-2.3071071049800045,0.0078125,0.0
0.05,marginal,4096,123393400,-2.2580197197676637,0.0078125,0.0
0.05,marginal,4096,123393400,-2.2089323345553233,0.0078125,0.0
0.05,marginal,4096,123393400,-2.1598449493429825,0.0078125,0.0
0.05,marginal,4096,123393400,-2.110757564130642,0.0078125,0.0
0.05,marginal,4096,123393400,-2.061670178918302,0.0078125,0.0
0.05,marginal,4096,123393400,-2.0125827937059615,0.0078125,0.0
0.05,marginal,4096,123393400,-1.9634954084936207,0.0078125,0.0
0.05,marginal,4096,123393400,-1.9144080232812801,0.0078125,0.0
0.05,marginal,4096,123393400,-1.8653206380689396,0.0078125,0.0
0.05,marginal,4096,123393400,-1.8162332528565992,0.0078125,0.0
0.05,marginal,4096,123393400,-1.7671458676442586,0.0078125,0.0
0.05,marginal,4096,123393400,-1.718058482431918,0.0078125,0.0
0.05,marginal,4096,123393400,-1.6689710972195777,0.0078125,0.0
0.05,marginal,4096,123393400,-1.6198837120072371,0.0078125,0.0
0.05,marginal,4096,123393400,-1.5707963267948966,0.0078125,0.0
0.05,marginal,4096,123393400,-1.521708941582556,0.0078125,0.0
0.05,marginal,4096,123393400,-1.4726215563702154,0.0078125,0.0
0.05,marginal,4096,123393400,-1.423534171157875,0.0078125,0.0
0.05,marginal,4096,123393400,-1.3744467859455345,0.0078125,0.0
0.05,marginal,4096,123393400,-1.325359400733194,0.0078125,0.0
0.05,marginal,4096,123393400,-1.2762720155208536,0.0078125,0.0
0.05,marginal,4096,123393400,-1.227184630308513,0.0078125,0.0
0.05,marginal,4096,123393400,-1.1780972450961724,0.0078125,0.0
0.05,marginal,4096,123393400,-1.129009859883832,0.0078125,0.0
0.05,marginal,4096,123393400,-1.0799224746714913,0.0078125,0.0
0.05,marginal,4096,123393400,-1.030835089459151,0.0078125,0.0
0.05,marginal,4096,123393400,-0.9817477042468106,0.0078125,0.0
0.05,marginal,4096,123393400,-0.9326603190344698,0.0078125,0.0
0.05,marginal,4096,123393400,-0.8835729338221294,0.0078125,0.0
0.05,marginal,4096,123393400,-0.8344855486097886,0.0078125,0.0
0.05,marginal,4096,123393400,-0.7853981633974483,0.0078125,0.0
0.05,marginal,4096,123393400,-0.7363107781851079,0.0078125,0.0
0.05,marginal,4096,123393400,-0.6872233929727671,0.0078125,0.0
0.05,marginal,4096,123393400,-0.6381360077604268,0.0078125,0.0
0.05,marginal,4096,123393400,-0.589048622548086,0.0078125,0.0
0.05,marginal,4096,123393400,-0.5399612373357456,0.0078125,0.5
0.05,marginal,4096,123393400,-0.4908738521234053,0.0078125,0.0
