family,rho,n_chains,t_eval,rep,t_train,rho_hat,q_hat,rho_abs_err,n_params_learned,rel_score_err_vs_true_params
gaussian,0.85,1000,0.5,2,0.15,0.8498861135584433,0.2873376175443257,0.00011388644155663208,2,0.0070679496078879895
student,0.7,2000,0.15,3,0.15,0.7005291277831984,0.5069536756772668,0.0005291277831984686,2,0.003021958256131084
mixture,0.85,1000,0.15,4,0.15,0.8428633046948629,0.28584602930161557,0.007136695305137053,2,0.01180827056899044
laplace,0.7,60,1.2,0,0.15,0.7324909533941794,0.4896964053339849,0.0324909533941794,2,0.013240154651917208
gaussian,0.7,125,1.2,3,0.15,0.6853845235564007,0.5039241579032039,0.014615476443599285,2,0.00797213802861542
gaussian,0.7,250,0.15,0,0.15,0.7049993173545993,0.5112366065620642,0.004999317354599353,2,0.004114075888481439
mixture,0.85,4000,1.2,2,0.15,0.8500181678420414,0.2744716115653407,1.8167842041449944e-05,2,0.00119907042700459
gaussian,0.7,125,0.15,4,0.15,0.6871186664483667,0.5078611258135982,0.012881333551633234,2,0.010699077013246653
gaussian,0.7,250,0.15,3,0.15,0.7034651529520888,0.5054226956688826,0.0034651529520888236,2,0.005416007381948886
mixture,0.85,125,0.15,2,0.15,0.8359442946673804,0.27974311995070356,0.014055705332619572,2,0.011747428696518849
gaussian,0.7,1000,1.2,3,0.15,0.6943873155030644,0.5025807304871951,0.005612684496935527,2,0.004089682099670829
student,0.85,60,0.5,3,0.15,0.8503064659349882,0.26998395268938813,0.000306465934988176,2,0.005487343942796071
mixture,0.7,500,0.5,4,0.15,0.7030622280281013,0.49714968356084677,0.0030622280281012992,2,0.005665968981014637
laplace,0.85,60,0.15,4,0.15,0.8638796190181544,0.28581629788293295,0.013879619018154377,2,0.014646755770697854
uniform,0.85,250,0.5,3,0.15,0.8394125975832024,0.29406642684983225,0.010587402416797564,2,0.010190731945445383
laplace,0.85,125,0.15,3,0.15,0.8297783633493937,0.2906587757282316,0.02022163665060628,2,0.022714595276639046
uniform,0.85,500,1.2,0,0.15,0.8542281689665211,0.2578571348785007,0.0042281689665211175,2,0.0048869829680084865
uniform,0.85,1000,1.2,2,0.15,0.8513128046397391,0.2737322551731324,0.0013128046397391513,2,0.0007411261589293634
gaussian,0.85,4000,0.15,4,0.15,0.8521186050374221,0.27811460658738996,0.0021186050374221166,2,0.0018774507125059203
gaussian,0.85,500,0.5,1,0.15,0.8430263796275247,0.2830835265030491,0.0069736203724752865,2,0.005616349102663028
gaussian,0.85,1000,0.15,1,0.15,0.8563668555979077,0.27145754048660725,0.006366855597907728,2,0.009215419020381801
uniform,0.85,4000,1.2,3,0.15,0.8514261651091316,0.2780899364769243,0.0014261651091316274,2,0.0015366414011366177
