stage,seed,n_chains,arch,region,hp,checkpoint,at_cap,n_params,sq_err,sq_ref,risk
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 64}",8000,False,6593,22342.551012528093,1425250.9359114203,0.12520472297943327
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 64}",8000,False,6593,8113.168527455751,1083969.239568798,0.08651407517036185
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 64}",8000,False,6593,345.43007825048005,44414.23562951278,0.08818992623511852
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 128}",16000,False,21377,26398.082122046235,1425250.9359114203,0.13609448307337269
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 128}",16000,False,21377,12565.14354930298,1083969.239568798,0.10766517439045305
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 128}",16000,False,21377,649.3166420050756,44414.23562951278,0.12091137802798876
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 64}",64000,True,4801,38068.858770948784,1425250.9359114203,0.163432815106058
screen,10000,2048,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 64}",64000,True,4801,26047.032640945843,1083969.239568798,0.15501390186698014
screen,10000,2048,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 64}",64000,True,4801,1224.3163811073655,44414.23562951278,0.16602968120404338
screen,10000,2048,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 128}",32000,False,17793,46701.94685991471,1425250.9359114203,0.18101802626326785
