init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,gauss_mix_kappa0.3,0.85,1.6,-0.18,41,1.5356776250732572e-07,0.0010316853040799809,6.803073285845502e-09,8.768323673078632e-05,0.9999999966790598,0.0001458470641068632
invariant,gauss_mix_kappa0.3,0.85,2.4,-0.18,41,1.9887110883979715e-09,0.00035451772410183843,1.6639337324283647e-11,4.358188253401629e-06,0.9999999999917637,7.921224979168251e-06
invariant,gauss_mix_kappa0.6,0.85,0.02,-0.72,43,0.0005287659835887587,0.026076772254424556,0.33043467943589055,0.2648503496313135,0.9651425451449129,1.2687969692539993
invariant,gauss_mix_kappa0.6,0.85,0.05,-0.72,43,0.0007245148867133125,0.028795313565107002,0.07239114260691679,0.14071085580208925,0.9903524479565717,0.7024092318482225
invariant,gauss_mix_kappa0.6,0.85,0.1,-0.72,43,0.000801622385573594,0.02689413135522134,0.019973891165833403,0.08041395788226247,0.9969237347226789,0.4251553074714989
invariant,gauss_mix_kappa0.6,0.85,0.2,-0.72,43,0.0003702679649454063,0.02288164162506338,0.0022835644039328525,0.032552208523792744,0.9994744960897424,0.15097786348611686
invariant,gauss_mix_kappa0.6,0.85,0.4,-0.72,43,0.00012418150354595969,0.01800104955100866,0.0001840080657113852,0.012367058301040571,0.9999305000153682,0.032301236348531326
invariant,gauss_mix_kappa0.6,0.85,0.8,-0.72,43,4.083173993590023e-05,0.01154683577889274,1.2942205888469853e-05,0.0032594681549543113,0.9999948169600728,0.009755792418435605
invariant,gauss_mix_kappa0.6,0.85,1.6,-0.72,43,1.6677234629573813e-06,0.003559239230356964,7.388038188336714e-08,0.0002489311839433384,0.9999999714466965,0.0005519478960931412
invariant,gauss_mix_kappa0.6,0.85,2.4,-0.72,43,3.799541266930386e-08,0.0010625047987915166,3.179036371189716e-10,1.7972125186875904e-05,0.9999999998579944,3.91137117116136e-05
invariant,gauss_mix_kappa0.9,0.85,0.02,-1.62,44,0.008596677761773874,0.10280663175883759,5.372207268602726,0.8036427227743508,0.6139735360969314,5.174940896407734
invariant,gauss_mix_kappa0.9,0.85,0.05,-1.62,44,0.008369398085589575,0.1084546282659494,0.8362427073050764,0.43126866097981936,0.9029769482313031,1.9522629657080677
