n_chains,t,em_bp_score_rel_l2,em_bp_mean_rel_l2,net_score_rel_l2_selected,net_mean_rel_l2_selected,net_score_rel_l2_oracle,net_mean_rel_l2_oracle,mode_selected,mode_oracle,selection_agrees,ratio_selected,ratio_oracle,seed
4096,0.8,0.0022349344133731,0.0061814591858341,0.0623541312770906,0.1724612208980865,0.0623541312770906,0.1724612208980865,x0,x0,1,27.89975889403443,27.89975889403443,2
4096,1.6,0.0013004911817129,0.0160005891224456,0.0183173991272368,0.2253680619661905,0.0183173991272368,0.2253680619661905,x0,x0,1,14.084985261576652,14.084985261576652,2
32,0.1,0.0937697583290654,0.0312917409388531,1.372679281062498,0.4580743858206652,1.372679281062498,0.4580743858206652,eps,eps,1,14.638827117857833,14.638827117857833,5
32,0.2,0.0718619996553956,0.0426918689109648,0.8880491020606641,0.5275733493846256,0.8880491020606641,0.5275733493846256,eps,eps,1,12.35770095904904,12.35770095904904,5
32,0.4,0.0531005214309034,0.0612328865471645,0.4898335856937336,0.564851786225951,0.4898335856937336,0.564851786225951,eps,eps,1,9.224647376224455,9.224647376224455,5
32,0.8,0.0489662540053544,0.1354325651822835,0.2349633788492019,0.6498698699305129,0.2349633788492019,0.6498698699305129,x0,x0,1,4.7984756772186214,4.7984756772186214,5
32,1.6,0.0383104032134526,0.4713519242216535,0.0605981378503757,0.7455689965172106,0.0605981378503757,0.7455689965172106,x0,x0,1,1.5817671642019362,1.5817671642019362,5
64,0.1,0.0605255560467901,0.0201978767328136,1.282216356664157,0.4278861626100426,1.282216356664157,0.4278861626100426,eps,eps,1,21.18471006979135,21.18471006979135,5
64,0.2,0.0405204835775837,0.0240724608471595,0.8373868238225947,0.497475838159747,0.8373868238225947,0.497475838159747,eps,eps,1,20.66576580260371,20.66576580260371,5
64,0.4,0.0275220639670968,0.031737078563983,0.454432632927519,0.524029164037281,0.454432632927519,0.524029164037281,eps,eps,1,16.51157534808443,16.51157534808443,5
64,0.8,0.0237317477334118,0.0656380917242179,0.2079862874739331,0.5752556941001541,0.2079862874739331,0.5752556941001541,x0,x0,1,8.764052686313955,8.764052686313955,5
64,1.6,0.0137056533761467,0.1686274627695196,0.0498463221981474,0.613284066799355,0.0498463221981474,0.613284066799355,x0,x0,1,3.6369168860566505,3.6369168860566505,5
128,0.1,0.059008875811617,0.0196917480421587,1.12756305980077,0.3762770832328101,1.12756305980077,0.3762770832328101,eps,eps,1,19.10836368753168,19.10836368753168,5
128,0.2,0.0393970355786511,0.0234050414192461,0.7519536763280498,0.4467216043368871,0.7519536763280498,0.4467216043368871,eps,eps,1,19.086554744122072,19.086554744122072,5
128,0.4,0.0195275034649672,0.0225181480708363,0.4096561737443613,0.472395173046933,0.4014192463982695,0.4628967571352027,eps,x0,0,20.978420230691203,20.556608637577465,5
128,0.8,0.0109272244998793,0.0302228968583042,0.1750058192955814,0.4840371703017352,0.1750058192955814,0.4840371703017352,x0,x0,1,16.015578274017674,16.015578274017674,5
128,1.6,0.0046636872097385,0.05737966076813,0.0468191032257788,0.5760386877905219,0.0468191032257788,0.5760386877905219,x0,x0,1,10.039074474808803,10.039074474808803,5
